204,ObjectId(5b97516b1025fcfc18ae1b52),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.4866666666666667,""y"":0.4981132075471698,""width"":0.2175,""height"":0.21132075471698114},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (12.JPG,mummification,2017-12-18T17:47:06.789Z,0,UT01-15D_01_02_2016 (12.JPG
0,ObjectId(59519aea88adf60202493a39),,"[{""type"":""rect"",""geometry"":{""x"":0.018496420047732696,""y"":0.414041404140414,""width"":0.9725536992840096,""height"":0.49054905490549056},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (2.JPG,mummification,2017-06-26T23:38:18.488Z,0,UT01-15D_01_02_2016 (2.JPG
205,ObjectId(5b97516b1025fcfc18ae1b55),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.6141666666666666,""y"":0.5245283018867924,""width"":0.11583333333333333,""height"":0.1761006289308176},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (3.JPG,mummification,2017-12-18T17:48:55.827Z,0,UT01-15D_01_02_2016 (3.JPG
206,ObjectId(5b97516b1025fcfc18ae1b57),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.18583333333333332,""y"":0.49433962264150944,""width"":0.2816666666666667,""height"":0.1320754716981132},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (3.JPG,mummification,2017-12-18T17:49:19.081Z,0,UT01-15D_01_02_2016 (3.JPG
207,ObjectId(5b97516b1025fcfc18ae1b58),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.21583333333333332,""y"":0.7748427672955975,""width"":0.2808333333333333,""height"":0.15345911949685534},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (3.JPG,mummification,2017-12-18T17:49:31.139Z,0,UT01-15D_01_02_2016 (3.JPG
1,ObjectId(59519baf88adf60202493a40),,"[{""type"":""rect"",""geometry"":{""x"":0.720763723150358,""y"":0.20882088208820881,""width"":0.20047732696897375,""height"":0.3033303330333033},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (4.JPG,mummification,2017-06-26T23:41:35.900Z,0,UT01-15D_01_02_2016 (4.JPG
2,ObjectId(59519c0e88adf60202493a41),,"[{""type"":""rect"",""geometry"":{""x"":0.2714797136038186,""y"":0.3339333933393339,""width"":0.5739856801909308,""height"":0.31413141314131415},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (70.JPG,mummification,2017-06-26T23:43:10.266Z,0,UT01-15D_01_02_2016 (70.JPG
278,ObjectId(5b97516e1025fcfc18ae1f8e),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.060765191297824456,""y"":0.48357870894677235,""width"":0.1837959489872468,""height"":0.1913929784824462},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (70.JPG,mummification,2018-08-21T19:20:13.326Z,0,UT01-15D_01_02_2016 (70.JPG
279,ObjectId(5b97516e1025fcfc18ae1f8f),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.15303825956489123,""y"":0.7134767836919592,""width"":0.24456114028507125,""height"":0.18799546998867497},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_02_2016 (70.JPG,mummification,2018-08-21T19:20:22.759Z,0,UT01-15D_01_02_2016 (70.JPG
209,ObjectId(5b97516b1025fcfc18ae1b5f),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.5716666666666667,""y"":0.3232704402515723,""width"":0.3625,""height"":0.24025157232704403},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2017-12-18T18:07:04.275Z,0,UT01-15D_01_09_2016 (4.JPG
